,Claimant(s)/Nationality(ies): i,Date Registered:,Economic Sector:,Instrument(s) Invoked: i,Latest Development:,Outcome of Proceeding:,Respondent(s):,Status of Proceeding:,Subject of Dispute:
83,"CIC Renewable Energies Italy GmbH (German), Enernovum Asset 1 GmbH (German), Enernovum GmbH (German), Foresight European Solar 2 Ltd. (British), Foresight Luxembourg (VCT) 2 S.a.r.l. (Luxembourg), Foresight Luxembourg Solar 4 S.a.r.l. (Luxembourg), SolEs XX Projekt GmbH (German), SolEs XXI Projekt GmbH (German), SolEs XXII Projekt GmbH (German), SolEs XXIII Projekt GmbH (German), SolEs Zarasol GmbH (German), VC Holding II S.a.r.l. (Luxembourg)",06-Dec-16,Electric Power & Other Energy,ECT (Energy Charter Treaty),"April 17, 2018 - The Claimants file a memorial on the merits.",,Italian Republic (Italian),Pending,Renewable energy generation enterprise
84,"EBO Invest AS (Norwegian), Rox Holding AS (Norwegian), Staur Eiendom AS (Norwegian)",06-Dec-16,Construction,BIT Norway - Latvia 1992,"June 25, 2018 - The Tribunal issues Procedural Order No. 3 concerning procedural matters.",,Republic of Latvia (Latvian),Pending,Airport project construction
85,"Fund III Egypt, LLC (U.S.), LP Egypt Holdings I, LLC (U.S.), OMLP Egypt Holdings I, LLC (U.S.)",15-Nov-16,Construction,"BIT Egypt, Arab Republic of - United States of America 1986","February 26, 2018 - The Tribunal is constituted in accordance with Article 37(2)(a) of the ICSID Convention.  Its members are: Hans van Houtte (Belgian), President, appointed by agreement of the parties; Stanimir A. Alexandrov (Bulgarian), appointed by the Claimants; and Philippe Sands (French/British), appointed by the Respondent.",,Arab Republic of Egypt (Egyptian),Pending,Housing construction project
86,"Boris Goljevšček (Slovenian), Viaduct d.o.o. Portorož (Slovenian), Vladimir Zevnik (Slovenian)",15-Nov-16,Electric Power & Other Energy,BIT Bosnia and Herzegovina - Slovenia 2001 - ECT (Energy Charter Treaty),"May 29, 2018 - Following appointment by the Respondent, Horacio A. Grigera Naón (Argentine) accepts his appointment as arbitrator.",,Bosnia and Herzegovina (Bosnian),Pending,Hydroelectric power plants
87,"Emergofin B.V. (Dutch), Velbay Holdings Ltd. (Dutch)",09-Nov-16,"Oil, Gas & Mining",BIT Netherlands - Ukraine 1994,"March 28, 2018 - The Claimants file a memorial on the merits.",,Ukraine (Ukrainian),Pending,Aluminium and alumina production company
88,"Bridgestone Americas, Inc. (U.S.), Bridgestone Licensing Services, Inc. (U.S.)",28-Oct-16,Other Industry,TPA United States of America - Panama 2007,"May 11, 2018 - The Claimants file a memorial on the merits.",,Republic of Panama (Panamanian),Pending,Tire and rubber products enterprise
89,APM Terminals Callao S.A. (Peruvian),11-Oct-16,Transportation,Contract,,"February 22, 2017 - The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Republic of Peru (Peruvian),Concluded,Pier concession agreement
90,América Móvil S.A.B. de C.V. (Mexican),03-Oct-16,Information & Communication,FTA México-Colombia,"May 23, 2018 - The Tribunal issues Procedural Order No. 3 on a modified timetable.",,Republic of Colombia (Colombian),Pending,Telecommunications enterprise
91,"Property Partnerships Development Managers (UK) (British), Property Partnerships Developments (Mauritius) Ltd (Mauritian), Property Partnerships Holdings (Mauritius) Ltd (Mauritian), TG Investments Ltd (Mauritian), Thomas Gosling (British)",27-Sep-16,Tourism,BIT Mauritius - United Kingdom of Great Britain and Northern Ireland 1986,"April 9, 2018 - The Tribunal issues Procedural Order No. 6 concerning the Respondent’s request to address the objections to jurisdiction as a preliminary question; as a result, the objections to jurisdiction are joined to the merits of the dispute.",,Republic of Mauritius (Mauritian),Pending,Real estate projects
92,"Zagrebačka Banka d.d. (Croatian), UniCredit Bank Austria AG (Austrian)",16-Sep-16,Finance,BIT Croatia - Austria 1997,"June 6, 2018 - The Claimants file a response to the Respondent’s observations of May 16, 2018.",,Republic of Croatia (Croatian),Pending,Banking services and debt instruments
93,"JSC Tashkent Mechanical Plant (Uzbek), JSCB Asaka (Uzbek), JSCB Uzbek Industrial and Construction Bank (Uzbek), National Bank for Foreign Economic Activity of the Republic of Uzbekistan (Uzbek)",06-Sep-16,Tourism,BIT Uzbekistan - Kyrgyz Republic 1996 - Investment Law - Kyrgyz Republic (2003),"April 12, 2018 - The suspension of the proceeding is extended until July 14, 2018, pursuant to the parties�_agreement.",,Kyrgyz Republic (Kyrgyz),Pending,Resort management and operation
94,Görkem Inşaat Sanayi ve Ticaret Limited Şirketi (Turkish),23-Aug-16,Construction,BIT Turkmenistan - Turkey 1992,,"December 12, 2017 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Turkmenistan (Turkmen),Concluded,Construction of a shopping and trade center
95,J&P-AVAX S.A. (Greek),17-Aug-16,Electric Power & Other Energy,BIT Lebanon - Greece 1997,"February 20, 2018 - Following the passing away of arbitrator David Caron (U.S.), the Secretary-General notifies the parties of the vacancy on the Tribunal and the proceeding is suspended pursuant to ICSID Arbitration Rule 10(2).",,Lebanese Republic (Lebanese),Pending,Electric power generation project
96,Amlyn Holding B.V. (Dutch),17-Aug-16,Electric Power & Other Energy,ECT (Energy Charter Treaty),"May 3, 2018 - The Tribunal issues a decision on the Respondent’s request to address certain objections to jurisdiction as a preliminary question.",,Republic of Croatia (Croatian),Pending,Biomass power plant
97,"Cordoba Beheer B.V. (Dutch), Cross Retail S.L. (Spanish), Sevilla Beheer B.V. (Dutch), Spanish project companies (Spanish)",12-Aug-16,Electric Power & Other Energy,ECT (Energy Charter Treaty),"March 2, 2018 - The Tribunal issues a decision on production of documents.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
98,"B-Mex, LLC (U.S.), David Figueiredo (U.S.), Deana Anthone (U.S.), Douglas Black (U.S.), Erin J. Burr (U.S.), Gordon G. Burr (U.S.), Howard Burns (U.S.), John Conley (U.S.), Mark Burr (U.S.), Neil Ayervais (U.S.)",11-Aug-16,Other Industry,NAFTA (North American Free Trade Agreement),"June 4, 2018 - The Tribunal issues Procedural Order No. 5 concerning post-hearing briefs.",,United Mexican States (Mexican),Pending,Gaming industry
99,Oleovest Pte. Ltd. (Singaporean),10-Aug-16,"Agriculture, Fishing & Forestry",BIT Indonesia - Singapore 2005,,"March 19, 2018 - The Tribunal issues a procedural order taking note of the discontinuance of the proceedings pursuant to ICSID Arbitration Rule 44; attached to the procedural order is a dissenting opinion by arbitrator Gordon Smith.",Republic of Indonesia (Indonesian),Concluded,Food products enterprise
100,"Montrose Developments (Private) Limited (Sri Lanka), Raymond Charles Eyre (British)",04-Aug-16,Tourism,BIT United Kingdom of Great Britain and Northern Ireland - Sri Lanka 1980,"May 30, 2018 - The Tribunal issues Procedural Order No. 3 concerning production of documents.",,Democratic Socialist Republic of Sri Lanka (Sri Lanka),Pending,Hotel development project
101,"ČEZ, a.s. (Czech)",26-Jul-16,Electric Power & Other Energy,ECT (Energy Charter Treaty),"October 27, 2016 - Following appointment by the Respondent, Donald M. McRae (Canadian/New Zealand) accepts his appointment as arbitrator.",,Republic of Bulgaria (Bulgarian),Pending,Electricity supply and distribution operations
102,"Agroinsumos Ibero-Americanos, S.L. (Spanish), Inica Latinoamericana, S.L. (Spanish), Proyefa Internacional, S.L. (Spanish), Verica Atlántica, S.L. (Spanish)",25-Jul-16,"Agriculture, Fishing & Forestry","BIT Spain - Venezuela, Republica Bolivariana de 1995","February 2, 2018 - The Tribunal issues Procedural Order No. 2 concerning production of documents.",,Bolivarian Republic of Venezuela (Venezuelan),Pending,Agriculture and food products enterprise
103,Shell Philippines Exploration B.V. (Dutch),20-Jul-16,"Oil, Gas & Mining",BIT Philippines - Netherlands 1985,"May 22, 2018 - The Claimant files a counter-memorial on jurisdiction.",,Republic of the Philippines (Philippine),Pending,"Hydrocarbon concession, taxation"
104,"TransCanada Corporation (Canadian), TransCanada PipeLines Limited (Canadian)",15-Jul-16,"Oil, Gas & Mining",NAFTA (North American Free Trade Agreement),,"March 24, 2017 - The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",United States of America (U.S.),Concluded,Oil pipeline project
105,"Akram Safa (Lebanese), Iskandar Safa (Lebanese)",05-Jul-16,Transportation,BIT Lebanon - Greece 1997,"May 1, 2018 - The Respondent files a memorial on preliminary objections and a counter-memorial on the merits.",,Hellenic Republic (Greek),Pending,"Shipbuilding, shipyards"
106,"Nova Group Investments, B.V. (Dutch)",05-Jul-16,Services & Trade,BIT Romania - Netherlands 1994,"May 27, 2018 - The Tribunal issues Procedural Order No. 13 concerning the Claimant’s request of April 25, 2018 and the Respondent’s request of May 3, 2018.",,Romania (Romanian),Pending,Company shareholding
107,"Infracapital F1 S.à r.l. (Luxembourg), Infracapital Solar B.V. (Dutch)",29-Jun-16,Electric Power & Other Energy,ECT (Energy Charter Treaty),"March 29, 2018 - The Claimants file a memorial on the merits.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
108,"Gilatz Spain SL (Spanish), Mr. Aharon Naftali Biram (German), Redmill Holdings Ltd (British), Sun-Flower Olmeda GmbH (German)",28-Jun-16,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 1, 2018 - The Claimants file a rejoinder on jurisdiction.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
109,Global Telecom Holding S.A.E. (Egyptian),06-Jun-16,Information & Communication,"BIT Canada - Egypt, Arab Republic of 1996","June 1, 2018 - The Tribunal issues Procedural Order No. 3 concerning production of documents.",,Canada (Canadian),Pending,Telecommunications enterprise
110,United Parcels Service of America Inc. (U.S.),19-Apr-00,Services & Trade,NAFTA (North American Free Trade Agreement),,"Award rendered on June 11, 2007.",Canada (Canadian),Concluded,Courier services
111,Lao Holdings N.V. (Dutch),27-May-16,Other Industry,BIT Lao People's Democratic Republic - Netherlands 2003,"May 18, 2018 - The Tribunal issues Procedural Order No. 5 concerning production of documents.",,Lao People’s Democratic Republic (Lao),Pending,Gaming industry
112,Xenofon Karagiannis (Greek),16-May-16,Construction,BIT Greece - Albania 1991 - Investment Law - Albania (1993),"May 16, 2016 - The Secretary-General registers a request for the institution of conciliation proceedings.",,Republic of Albania (Albanian),Pending,Cement terminal construction project
113,Luis García Armas (Spanish),05-May-16,Other Industry,"BIT Spain - Venezuela, Republica Bolivariana de 1995","June 22, 2018 - The Tribunal issues Procedural Order No. 9 concerning procedural matters.",,Bolivarian Republic of Venezuela (Venezuelan),Pending,Food products enterprise
114,AngloGold Ashanti (Ghana) Limited (Ghanaian),02-May-16,"Oil, Gas & Mining",Contract,"April 7, 2017 - The Claimant files a memorial on the merits.",,Republic of Ghana (Ghanaian),Pending,Mining concession
115,"ENGIE SA (French), ENGIE International Holdings BV (Dutch), GDF International SAS (French)",20-Apr-16,"Oil, Gas & Mining",ECT (Energy Charter Treaty),,"February 23, 2018 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Hungary (Hungarian),Concluded,"Shareholding in gas companies, gas tariffs and taxation"
116,Dominion Minerals Corp. (U.S.),15-Apr-16,"Oil, Gas & Mining",BIT United States of America - Panama 1982,"June 15, 2018 - The Tribunal issues Procedural Order No. 5 concerning procedural matters.",,Republic of Panama (Panamanian),Pending,Mining concession
117,Merrill & Ring Forestry L.P. (U.S.),27-Dec-06,"Agriculture, Fishing & Forestry",NAFTA (North American Free Trade Agreement),,"Award rendered on March 31, 2010.",Canada (Canadian),Concluded,Forestry
118,"Alhambra Coӧperatief U.A. (Dutch), Alhambra Resources Ltd. (Canadian)",05-Apr-16,"Oil, Gas & Mining",BIT Netherlands - Kazakhstan 2002 - Investment Law - Kazakhstan (1994),"May 1, 2018 - The Tribunal issues Procedural Order No. 7 concerning production of documents.",,Republic of Kazakhstan (Kazakhstani),Pending,Mining concession
119,"Gérard Bot (French), Société Resort Company Invest Abidjan (Ivorian), Stanislas Citerici (French)",29-Mar-16,Tourism,Investment Law - Cote d'Ivoire (2012),"June 6, 2018 - The Tribunal issues Procedural Order No. 7 concerning production of documents.",,Republic of Cote d'Ivoire (Ivorian),Pending,Leisure complex
120,"Kunsttrans Holding GmbH (Austrian), Kunsttrans d.o.o. Beograd (Serbian)",28-Mar-16,Other Industry,BIT Serbia - Austria 2001,"May 14, 2018 - The Tribunal issues Procedural Order No. 6 concerning procedural matters.",,Republic of Serbia (Serbian),Pending,Art storage facility
121,Italba Corporation (U.S.),24-Mar-16,Information & Communication,BIT United States of America - Uruguay 2005,"May 4, 2018 - Each party files a statement of costs.",,Oriental Republic of Uruguay (Uruguayan),Pending,Telecommunications enterprise
122,"Grot Cimarron LLC (U.S.), I.C.S. Laguardia SRL (Moldovan), Laguardia USA LLC (U.S.), Zbigniew Piotr Grot (Polish,U.S.)",21-Mar-16,"Agriculture, Fishing & Forestry",BIT Moldova - United States of America 1993,"June 5, 2018 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",,Republic of Moldova (Moldovan),Pending,Farming operations
123,Attila Doğan Construction & Installation Co. Inc. (Turkish),21-Mar-16,"Oil, Gas & Mining",BIT Oman - Turkey 2007,"June 19, 2018 - The Tribunal issues Procedural Order No. 9 concerning production of documents.",,Sultanate of Oman (Omani),Pending,Oil and gas engineering and construction enterprise
124,"C.I. Prodeco S.A. (Colombian), Glencore International A.G. (Swiss)",16-Mar-16,"Oil, Gas & Mining",BIT Colombia - Switzerland 2006,"May 28, 2018 - June 2, 2018 - The Tribunal holds a hearing on jurisdiction and the merits in Washington D.C.",,Republic of Colombia (Colombian),Pending,Mining concession
125,"ESPF Beteiligungs GmbH (German), ESPF Nr. 2 Austria Beteiligungs GmbH (Austrian), InfraClass Energie 5 GmbH (German)",08-Mar-16,Electric Power & Other Energy,ECT (Energy Charter Treaty),"May 31, 2018 - The Tribunal issues Procedural Order No. 6 concerning the organization of the hearing.",,Italian Republic (Italian),Pending,Renewable energy generation enterprise
126,Eurus Energy Holdings Corporation (Japanese),01-Mar-16,Electric Power & Other Energy,ECT (Energy Charter Treaty),"June 12, 2018 - The Tribunal issues Procedural Order No. 5 concerning the organization of the hearing.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
127,"UAB Litesko (Lithuanian), UAB Vilniaus Energija (Lithuanian), Veolia Baltics and Eastern Europe S.A.S. (French), Veolia Environnement S.A. (French)",10-Feb-16,Electric Power & Other Energy,BIT France - Lithuania 1992,"June 8, 2018 - The Tribunal issues a decision on production of documents.",,Republic of Lithuania (Lithuanian),Pending,Heating and electrical power generation
